STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTSbreweries
29,05,2905,Congressional District 5,C2,116,G5200,N,2147483647,89873789,+39.1414460,-093.7839363,17
29,04,2904,Congressional District 4,C2,116,G5200,N,2147483647,744247785,+38.2824253,-093.3189947,5
29,07,2907,Congressional District 7,C2,116,G5200,N,2147483647,248542030,+36.9910613,-093.7063517,5
29,02,2902,Congressional District 2,C2,116,G5200,N,1206284592,37571451,+38.6029696,-090.5323369,5
29,06,2906,Congressional District 6,C2,116,G5200,N,2147483647,528128323,+39.9480143,-093.2935421,5
29,08,2908,Congressional District 8,C2,116,G5200,N,2147483647,444793592,+37.1941281,-090.9345152,6
28,01,2801,Congressional District 1,C2,116,G5200,N,2147483647,408680692,+34.1975177,-089.0035117,1
28,03,2803,Congressional District 3,C2,116,G5200,N,2147483647,341749292,+32.0149304,-089.7405887,3
28,04,2804,Congressional District 4,C2,116,G5200,N,2147483647,-2076651865,+30.9941864,-089.0903341,6
28,02,2802,Congressional District 2,C2,116,G5200,N,2147483647,958174343,+33.1782150,-090.3514005,3
34,01,3401,Congressional District 1,C2,116,G5200,N,907100845,51162830,+39.7919748,-075.0559210,15
34,03,3403,Congressional District 3,C2,116,G5200,N,-1968134305,618205570,+39.8989740,-074.4763431,12
34,10,3410,Congressional District 10,C2,116,G5200,N,196397289,12474852,+40.7089641,-074.2090452,3
34,04,3404,Congressional District 4,C2,116,G5200,N,1789674324,49701555,+40.1650024,-074.3169967,10
34,05,3405,Congressional District 5,C2,116,G5200,N,-1726527806,83673745,+40.9738214,-075.1342110,4
34,07,3407,Congressional District 7,C2,116,G5200,N,-1782810953,47085986,+40.6317476,-074.7895041,6
34,02,3402,Congressional District 2,C2,116,G5200,N,2147483647,2034703850,+39.3932996,-074.9072568,20
34,09,3409,Congressional District 9,C2,116,G5200,N,246870811,19480622,+40.8607823,-074.0738236,1
34,11,3411,Congressional District 11,C2,116,G5200,N,1310058632,67984687,+40.9020187,-074.4505390,5
34,06,3406,Congressional District 6,C2,116,G5200,N,557571516,503799396,+40.3465672,-074.2150836,6
34,12,3412,Congressional District 12,C2,116,G5200,N,1067381022,18504392,+40.3742188,-074.5740550,4
32,01,3201,Congressional District 1,C2,116,G5200,N,270624142,16683,+36.1335429,-115.1515423,2
32,03,3203,Congressional District 3,C2,116,G5200,N,2147483647,102791046,+35.6631939,-115.1539667,6
32,04,3204,Congressional District 4,C2,116,G5200,N,2147483647,628524268,+38.0856467,-116.0264961,2
32,02,3202,Congressional District 2,C2,116,G5200,N,2147483647,1315874075,+40.6511506,-117.3296838,14
45,01,4501,Congressional District 1,C2,116,G5200,N,-281422444,-2098397843,+32.7140628,-080.1606245,11
45,03,4503,Congressional District 3,C2,116,G5200,N,2147483647,518916989,+34.3577435,-082.3312067,0
45,04,4504,Congressional District 4,C2,116,G5200,N,-930507530,44729109,+34.9417009,-082.1701563,8
45,05,4505,Congressional District 5,C2,116,G5200,N,2147483647,265732852,+34.5302283,-081.0109378,4
45,07,4507,Congressional District 7,C2,116,G5200,N,2147483647,958926941,+34.0834783,-079.4988485,1
45,02,4502,Congressional District 2,C2,116,G5200,N,2147483647,225271436,+33.6330620,-081.3792888,1
45,06,4506,Congressional District 6,C2,116,G5200,N,2147483647,865071998,+33.2082080,-080.5239865,17
53,01,5301,Congressional District 1,C2,116,G5200,N,2147483647,1097951634,+48.3674893,-121.6579122,36
53,03,5303,Congressional District 3,C2,116,G5200,N,2147483647,1219984100,+46.2709146,-122.2622503,30
38,00,3800,Congressional District (at Large),C1,116,G5200,N,2147483647,2147483647,+47.4421740,-100.4608258,9
56,00,5600,Congressional District (at Large),C1,116,G5200,N,2147483647,1867670745,+42.9896591,-107.5443922,15
69,98,6998,Delegate District (at Large),C4,116,G5200,N,472292529,2147483647,+14.9300771,+145.6425305,0
39,01,3901,Congressional District 1,C2,116,G5200,N,1779110527,26793491,+39.3360198,-084.3468497,15
39,07,3907,Congressional District 7,C2,116,G5200,N,2147483647,64567382,+40.7432753,-082.4670010,7
39,02,3902,Congressional District 2,C2,116,G5200,N,2147483647,77170483,+39.0188676,-083.5519463,15
39,14,3914,Congressional District 14,C2,116,G5200,N,2147483647,-564683811,+41.7511641,-081.0194752,6
39,06,3906,Congressional District 6,C2,116,G5200,N,2147483647,202816758,+39.7714087,-081.5750390,8
39,03,3903,Congressional District 3,C2,116,G5200,N,590732885,11274048,+39.9662072,-082.9474950,16
39,10,3910,Congressional District 10,C2,116,G5200,N,-1369218448,15947647,+39.7013631,-083.9586972,9
39,04,3904,Congressional District 4,C2,116,G5200,N,2147483647,121559316,+40.5169844,-084.5754759,4
39,05,3905,Congressional District 5,C2,116,G5200,N,2147483647,73249833,+41.1557510,-084.0447886,7
39,16,3916,Congressional District 16,C2,116,G5200,N,-1173072697,31141190,+40.9821546,-081.7406039,9
39,13,3913,Congressional District 13,C2,116,G5200,N,-1979679512,70792303,+41.1496303,-080.9786969,12
39,15,3915,Congressional District 15,C2,116,G5200,N,2147483647,99789977,+39.5778602,-082.7562053,15
39,11,3911,Congressional District 11,C2,116,G5200,N,633380874,1310812208,+41.6137949,-081.5277187,15
39,09,3909,Congressional District 9,C2,116,G5200,N,1202130654,2147483647,+41.4032532,-082.5481185,7
39,08,3908,Congressional District 8,C2,116,G5200,N,2147483647,42726671,+39.8995752,-084.1608314,12
39,12,3912,Congressional District 12,C2,116,G5200,N,2147483647,76786970,+40.2393230,-082.6136769,16
51,01,5101,Congressional District 1,C2,116,G5200,N,2147483647,1767438169,+37.8807201,-076.9762880,12
51,03,5103,Congressional District 3,C2,116,G5200,N,1619438767,406420212,+36.9137548,-076.5694796,10
51,10,5110,Congressional District 10,C2,116,G5200,N,-742945611,37324155,+39.0761620,-077.8559583,31
51,05,5105,Congressional District 5,C2,116,G5200,N,2147483647,391890253,+37.3323415,-078.7235580,25
51,04,5104,Congressional District 4,C2,116,G5200,N,2147483647,296483280,+36.9617490,-077.1577179,16
51,07,5107,Congressional District 7,C2,116,G5200,N,2147483647,144698517,+37.8201840,-077.9024081,10
51,02,5102,Congressional District 2,C2,116,G5200,N,-1436342724,2147483647,+37.3937297,-075.9356016,16
51,11,5111,Congressional District 11,C2,116,G5200,N,479342358,21326058,+38.7890600,-077.2946223,4
51,09,5109,Congressional District 9,C2,116,G5200,N,2147483647,153447195,+37.0008631,-081.3249946,8
15,01,1501,Congressional District 1,C2,116,G5200,N,541359418,456759507,+21.3226396,-157.9059542,3
15,02,1502,Congressional District 2,C2,116,G5200,N,2147483647,2147483647,+19.6941634,-156.0443440,7
26,01,2601,Congressional District 1,C2,116,G5200,N,2147483647,2147483647,+46.1573045,-086.4369120,35
26,07,2607,Congressional District 7,C2,116,G5200,N,2147483647,526028591,+42.0936084,-084.3049549,10
26,02,2602,Congressional District 2,C2,116,G5200,N,2147483647,2147483647,+43.3975406,-086.3188626,21
26,06,2606,Congressional District 6,C2,116,G5200,N,2147483647,-229115032,+42.1640521,-086.1560519,24
26,14,2614,Congressional District 14,C2,116,G5200,N,480339355,97940449,+42.5612521,-083.4387250,3
26,03,2603,Congressional District 3,C2,116,G5200,N,2147483647,176750939,+42.7200275,-085.2372759,16
26,10,2610,Congressional District 10,C2,116,G5200,N,2147483647,2147483647,+43.4559041,-082.8824074,2
26,05,2605,Congressional District 5,C2,116,G5200,N,2147483647,2147483647,+43.5744457,-084.1628756,4
26,04,2604,Congressional District 4,C2,116,G5200,N,2147483647,520053991,+43.7315525,-084.7503993,6
26,13,2613,Congressional District 13,C2,116,G5200,N,478918323,5374636,+42.3513749,-083.4300532,3
26,ZZ,26ZZ,Congressional Districts not defined,00,116,G5200,F,0,2147483647,+42.4984990,-082.8719620,0
26,11,2611,Congressional District 11,C2,116,G5200,N,1085687168,55726229,+42.5300018,-083.4539962,12
26,09,2609,Congressional District 9,C2,116,G5200,N,475771461,13240065,+42.5296604,-083.0547224,10
26,12,2612,Congressional District 12,C2,116,G5200,N,1044264730,71968024,+42.2053809,-083.4470432,5
26,08,2608,Congressional District 8,C2,116,G5200,N,-401832937,99556198,+42.6477730,-083.9453541,6
51,06,5106,Congressional District 6,C2,116,G5200,N,2147483647,104993717,+38.1365430,-079.1992544,20
51,08,5108,Congressional District 8,C2,116,G5200,N,386908080,29005304,+38.7713248,-077.1467415,4
53,10,5310,Congressional District 10,C2,116,G5200,N,2141821386,234826813,+47.0417220,-122.7558152,14
53,05,5305,Congressional District 5,C2,116,G5200,N,2147483647,598822284,+47.5732049,-117.8675495,32
53,04,5304,Congressional District 4,C2,116,G5200,N,2147483647,808206849,+47.2946268,-119.7071777,17
53,07,5307,Congressional District 7,C2,116,G5200,N,372955017,339685089,+47.5784260,-122.3913575,42
