STATEFP,CD116FP,GEOID,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,color,military
26,9,2609,Congressional District 9,C2,116,G5200,N,475771461,13240065,42.5296604,-83.0547224,,0
26,12,2612,Congressional District 12,C2,116,G5200,N,1044264730,71968024,42.2053809,-83.4470432,,4
26,8,2608,Congressional District 8,C2,116,G5200,N,-401832937,99556198,42.647773,-83.9453541,,7
51,6,5106,Congressional District 6,C2,116,G5200,N,15355775696,104993717,38.136543,-79.1992544,,10
51,8,5108,Congressional District 8,C2,116,G5200,N,386908080,29005304,38.7713248,-77.1467415,,1
53,10,5310,Congressional District 10,C2,116,G5200,N,2141821386,234826813,47.041722,-122.7558152,,5
53,5,5305,Congressional District 5,C2,116,G5200,N,40076148862,598822284,47.5732049,-117.8675495,,25
53,4,5304,Congressional District 4,C2,116,G5200,N,49848046468,808206849,47.2946268,-119.7071777,,28
53,7,5307,Congressional District 7,C2,116,G5200,N,372955017,339685089,47.578426,-122.3913575,,1
53,2,5302,Congressional District 2,C2,116,G5200,N,-1664654495,-1611408139,48.3753949,-122.5976996,,10
53,9,5309,Congressional District 9,C2,116,G5200,N,475212865,104450286,47.4587305,-122.2584711,,3
53,6,5306,Congressional District 6,C2,116,G5200,N,17876191025,5101382519,47.6388582,-123.5509405,,15
53,8,5308,Congressional District 8,C2,116,G5200,N,19060978428,370410119,47.3623847,-121.0393849,,14
34,8,3408,Congressional District 8,C2,116,G5200,N,141495250,38082761,40.7239266,-74.1064956,,0
8,1,801,Congressional District 1,C2,116,G5200,N,491646356,7076638,39.7322859,-104.9087582,,1
8,3,803,Congressional District 3,C2,116,G5200,N,1.28801E+11,388259104,38.7432544,-107.3448493,,36
8,5,805,Congressional District 5,C2,116,G5200,N,18818297446,61234902,38.8154076,-105.3441513,,6
8,4,804,Congressional District 4,C2,116,G5200,N,98683854464,438848484,39.0706831,-103.413853,,24
8,7,807,Congressional District 7,C2,116,G5200,N,876592983,27439545,39.8266706,-105.0408542,,1
8,2,802,Congressional District 2,C2,116,G5200,N,19523675148,236595196,40.137084,-105.7090836,,4
8,6,806,Congressional District 6,C2,116,G5200,N,1227600079,22167724,39.7550881,-104.7653511,,2
24,1,2401,Congressional District 1,C2,116,G5200,N,10301014704,-259164428,38.768471,-75.9588863,,13
24,3,2403,Congressional District 3,C2,116,G5200,N,788544340,252344417,39.1571515,-76.6766922,,3
24,4,2404,Congressional District 4,C2,116,G5200,N,771403497,48178407,38.7560928,-77.0260243,,2
24,5,2405,Congressional District 5,C2,116,G5200,N,-454870941,2066469028,38.4718173,-76.7120357,,5
24,7,2407,Congressional District 7,C2,116,G5200,N,1264524922,14715020,39.3407655,-77.1858835,,0
24,2,2402,Congressional District 2,C2,116,G5200,N,902965456,440369386,39.3395186,-76.4287016,,2
24,6,2406,Congressional District 6,C2,116,G5200,N,5056294339,98039271,39.2881272,-79.4820308,,5
24,8,2408,Congressional District 8,C2,116,G5200,N,-2068710629,24048561,39.4222951,-77.2420033,,3
11,98,1198,Delegate District (at Large),C4,116,G5200,N,158340391,18687198,38.9041031,-77.017229,,0
50,0,5000,Congressional District (at Large),C1,116,G5200,N,23874175944,1030416650,44.0685773,-72.6691839,,16
20,1,2001,Congressional District 1,C2,116,G5200,N,1.36084E+11,594345222,38.731595,-99.4080367,,73
20,3,2003,Congressional District 3,C2,116,G5200,N,1961857340,32787799,38.8950035,-94.7906431,,5
20,4,2004,Congressional District 4,C2,116,G5200,N,37076058697,189253640,37.5544654,-97.7439831,,32
