ALAND,AWATER,CD116FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,NUMPOINTSairports,STATEFP,amtrak,breweries,fairgrounds,farms,fortune,hospitals,military,mobilehome,museums,result,sportsvenues,starbucks,amtrak_alpha_pct,breweries_alpha_pct,fairgrounds_alpha_pct,fortune_alpha_pct,hospitals_alpha_pct,mobilehome_alpha_pct,museums_alpha_pct,sportsvenues_alpha_pct,starbucks_alpha_pct,farms_alpha_pct,military_alpha_pct
1421720505,13173746,07,116,N,0607,+38.4794773,-121.2153712,C2,G5200,Congressional District 7,2,06,0,9,0,814,0,6,1,51,23,D,0,59,0.0,33.75,0.0,0.0,19.87012987012987,24.724334600760454,19.356435643564357,0.0,109.02173913043478,5.789958158995816,12.142857142857142
453544934,10601204,06,116,N,0606,+38.5940335,-121.4797679,C2,G5200,Congressional District 6,3,06,1,16,1,171,0,13,1,63,55,D,4,59,21.25,60.0,63.75,0.0,43.05194805194805,30.541825095057032,46.28712871287129,127.5,109.02173913043478,1.216317991631799,12.142857142857142
531445171,1078797,39,116,N,0639,+33.9386493,-117.8258358,C2,G5200,Congressional District 39,1,06,1,5,0,115,0,5,0,31,31,,1,51,21.25,18.75,0.0,0.0,16.558441558441558,15.02851711026616,26.08910891089109,31.875,94.23913043478261,0.8179916317991632,0.0
-158203347,63294101,14,116,N,1714,+42.0255473,-088.4458531,C2,G5200,Congressional District 14,5,17,1,9,0,2132,0,7,0,13,79,D,0,25,21.25,33.75,0.0,0.0,23.181818181818183,6.302281368821292,66.48514851485149,0.0,46.19565217391305,15.164853556485356,0.0
2147483647,204163863,01,116,N,4701,+36.2125013,-082.7999170,C2,G5200,Congressional District 1,8,47,0,7,0,9853,1,23,2,275,71,R,2,14,0.0,26.25,0.0,7.083333333333333,76.16883116883116,133.31749049429658,59.75247524752476,63.75,25.869565217391305,70.08410041841005,24.285714285714285
2147483647,372167533,03,116,N,4703,+35.7616459,-084.5094443,C2,G5200,Congressional District 3,8,47,0,6,0,5665,1,22,0,95,72,R,1,12,0.0,22.5,0.0,7.083333333333333,72.85714285714285,46.055133079847906,60.59405940594059,31.875,22.17391304347826,40.29497907949791,0.0
-1062506936,72095867,05,116,N,4705,+36.1873306,-087.0740252,C2,G5200,Congressional District 5,3,47,0,15,1,1918,3,17,2,46,68,D,8,30,0.0,56.25,63.75,21.25,56.298701298701296,22.30038022813688,57.227722772277225,255.0,55.43478260869565,13.642677824267784,24.285714285714285
2147483647,242150169,04,116,N,4704,+35.5358725,-087.2770081,C2,G5200,Congressional District 4,12,47,0,2,0,10696,0,17,1,114,54,R,2,17,0.0,7.5,0.0,0.0,56.298701298701296,55.266159695817485,45.445544554455445,63.75,31.41304347826087,76.08033472803348,12.142857142857142
1268371789,101766052,11,116,N,0611,+37.9038693,-122.0009326,C2,G5200,Congressional District 11,2,06,2,8,0,327,0,7,2,45,64,D,1,69,42.5,30.0,0.0,0.0,23.181818181818183,21.815589353612165,53.86138613861386,31.875,127.5,2.325941422594142,24.285714285714285
2147483647,771013213,01,116,N,4101,+45.7211995,-123.3412706,C2,G5200,Congressional District 1,10,41,0,28,0,4759,1,11,1,101,85,D,0,81,0.0,105.0,0.0,7.083333333333333,36.42857142857142,48.9638783269962,71.53465346534654,0.0,149.67391304347828,33.85062761506276,12.142857142857142
-1512096213,82267862,03,116,N,4103,+45.3899979,-122.1990897,C2,G5200,Congressional District 3,5,41,1,45,0,2500,0,10,2,89,77,D,4,108,21.25,168.75,0.0,0.0,33.116883116883116,43.146387832699624,64.8019801980198,127.5,199.56521739130434,17.782426778242677,24.285714285714285
2147483647,1207538177,05,116,N,4105,+45.0283647,-123.1951639,C2,G5200,Congressional District 5,12,41,2,23,1,6076,0,12,3,184,124,D,0,72,42.5,86.25,63.75,0.0,39.74025974025974,89.20152091254752,104.35643564356435,0.0,133.04347826086956,43.218410041841004,36.42857142857142
2147483647,2147483647,01,116,N,2301,+43.8460537,-069.9152497,C2,G5200,Congressional District 1,12,23,6,50,0,2650,0,24,3,125,222,D,0,24,127.5,187.5,0.0,0.0,79.48051948051948,60.59885931558936,186.83168316831683,0.0,44.34782608695652,18.849372384937237,36.42857142857142
